term,freq,source,length,is_onechar,is_english,is_number,is_special,is_punctuation
咖啡,776,both,2,False,False,False,False,False
時間,773,both,2,False,False,False,False,False
輕,772,both,1,True,False,False,False,False
原裝,772,both,2,False,False,False,False,False
白,771,both,1,True,False,False,False,False
泡沫,770,both,2,False,False,False,False,False
深入,767,both,2,False,False,False,False,False
符合,763,both,2,False,False,False,False,False
保持,760,both,2,False,False,False,False,False
手,759,both,1,True,False,False,False,False
特,759,both,1,True,False,False,False,False
緊緻,753,both,2,False,False,False,False,False
因子,753,both,2,False,False,False,False,False
防腐劑,753,both,3,False,False,False,False,False
兒童,752,both,2,False,False,False,False,False
植萃,749,both,2,False,False,False,False,False
涼感,747,both,2,False,False,False,False,False
襪,746,both,1,True,False,False,False,False
草本,746,both,2,False,False,False,False,False
小時,743,both,2,False,False,False,False,False
全新,742,both,2,False,False,False,False,False
透亮,741,both,2,False,False,False,False,False
霜,740,both,1,True,False,False,False,False
百搭,740,both,2,False,False,False,False,False
不鏽鋼,739,both,3,False,False,False,False,False
沐浴,738,both,2,False,False,False,False,False
簡約,737,both,2,False,False,False,False,False
必備,736,both,2,False,False,False,False,False
加強,736,both,2,False,False,False,False,False
均勻,736,both,2,False,False,False,False,False
不同,736,both,2,False,False,False,False,False
附,734,both,1,True,False,False,False,False
問題,734,both,2,False,False,False,False,False
黏膩,731,both,2,False,False,False,False,False
負擔,728,both,2,False,False,False,False,False
雙層,727,both,2,False,False,False,False,False
久,724,both,1,True,False,False,False,False
強化,724,both,2,False,False,False,False,False
即可,723,both,2,False,False,False,False,False
特殊,719,both,2,False,False,False,False,False
耐,713,both,1,True,False,False,False,False
mm,706,both,2,False,True,False,False,False
美國,703,both,2,False,False,False,False,False
香水,703,both,2,False,False,False,False,False
低,702,both,1,True,False,False,False,False
薄,695,both,1,True,False,False,False,False
賣,693,both,1,True,False,False,False,False
精選,693,both,2,False,False,False,False,False
營養,692,both,2,False,False,False,False,False
增加,689,both,2,False,False,False,False,False
持續,689,both,2,False,False,False,False,False
專業,688,both,2,False,False,False,False,False
l,686,both,1,True,True,False,False,False
乾爽,683,both,2,False,False,False,False,False
噴霧,680,both,2,False,False,False,False,False
精緻,680,both,2,False,False,False,False,False
如,680,both,1,True,False,False,False,False
易,675,both,1,True,False,False,False,False
得,672,both,1,True,False,False,False,False
運動,668,both,2,False,False,False,False,False
持久,668,both,2,False,False,False,False,False
棉,665,both,1,True,False,False,False,False
給,665,both,1,True,False,False,False,False
香料,663,both,2,False,False,False,False,False
敏感,661,both,2,False,False,False,False,False
吸,657,both,1,True,False,False,False,False
結合,654,both,2,False,False,False,False,False
抽,654,both,1,True,False,False,False,False
頂級,652,both,2,False,False,False,False,False
維生素,652,both,3,False,False,False,False,False
淨化,652,both,2,False,False,False,False,False
年,651,both,1,True,False,False,False,False
異味,645,both,2,False,False,False,False,False
多色,645,both,2,False,False,False,False,False
防,643,both,1,True,False,False,False,False
洗髮精,643,both,3,False,False,False,False,False
來,642,both,1,True,False,False,False,False
前,640,both,1,True,False,False,False,False
經,640,both,1,True,False,False,False,False
滲透,639,both,2,False,False,False,False,False
提供,632,both,2,False,False,False,False,False
環境,629,both,2,False,False,False,False,False
瞬間,629,both,2,False,False,False,False,False
還,628,both,1,True,False,False,False,False
優雅,625,both,2,False,False,False,False,False
睫毛,624,both,2,False,False,False,False,False
入組,619,both,2,False,False,False,False,False
且,619,both,1,True,False,False,False,False
零,619,both,1,True,False,False,False,False
外,618,both,1,True,False,False,False,False
粒,615,both,1,True,False,False,False,False
珍珠,615,both,2,False,False,False,False,False
本,615,both,1,True,False,False,False,False
清洗,614,both,2,False,False,False,False,False
美味,614,both,2,False,False,False,False,False
身體,613,both,2,False,False,False,False,False
製,611,both,1,True,False,False,False,False
油脂,608,both,2,False,False,False,False,False
透明,606,both,2,False,False,False,False,False
色彩,606,both,2,False,False,False,False,False
矽膠,606,both,2,False,False,False,False,False
受損,604,both,2,False,False,False,False,False
護髮,603,both,2,False,False,False,False,False
優質,601,both,2,False,False,False,False,False
穩定,601,both,2,False,False,False,False,False
四,595,both,1,True,False,False,False,False
貼,594,both,1,True,False,False,False,False
展現,593,both,2,False,False,False,False,False
髮色,589,both,2,False,False,False,False,False
呈現,588,both,2,False,False,False,False,False
濃郁,588,both,2,False,False,False,False,False
免,587,both,1,True,False,False,False,False
水分,587,both,2,False,False,False,False,False
洗髮,587,both,2,False,False,False,False,False
分鐘,586,both,2,False,False,False,False,False
了,584,both,1,True,False,False,False,False
選擇,582,both,2,False,False,False,False,False
邊,582,both,1,True,False,False,False,False
動物,581,both,2,False,False,False,False,False
便利,580,both,2,False,False,False,False,False
下,579,both,1,True,False,False,False,False
蕾絲,579,both,2,False,False,False,False,False
團購,577,both,2,False,False,False,False,False
散發,577,both,2,False,False,False,False,False
口味,577,both,2,False,False,False,False,False
控油,576,both,2,False,False,False,False,False
裝飾,576,both,2,False,False,False,False,False
usb,575,both,3,False,True,False,False,False
由,574,both,1,True,False,False,False,False
暗沉,574,both,2,False,False,False,False,False
快,571,both,1,True,False,False,False,False
從,571,both,1,True,False,False,False,False
強,569,both,1,True,False,False,False,False
店內碼,566,both,3,False,False,False,False,False
柔嫩,564,both,2,False,False,False,False,False
★,563,both,1,True,False,False,True,False
富含,562,both,2,False,False,False,False,False
綿密,561,both,2,False,False,False,False,False
所,561,both,1,True,False,False,False,False
樂扣,560,both,2,False,False,False,False,False
膚色,558,both,2,False,False,False,False,False
具,557,both,1,True,False,False,False,False
滿足,556,both,2,False,False,False,False,False
手機,554,both,2,False,False,False,False,False
衛生,554,both,2,False,False,False,False,False
熱,554,both,1,True,False,False,False,False
油,553,both,1,True,False,False,False,False
角落,552,both,2,False,False,False,False,False
居家,551,both,2,False,False,False,False,False
活力,550,both,2,False,False,False,False,False
雙重,549,both,2,False,False,False,False,False
支援,548,both,2,False,False,False,False,False
促進,547,both,2,False,False,False,False,False
j′adore,546,both,7,False,False,False,False,False
乾淨,546,both,2,False,False,False,False,False
成份,546,both,2,False,False,False,False,False
完整,544,both,2,False,False,False,False,False
膠原,543,both,2,False,False,False,False,False
把,541,both,1,True,False,False,False,False
薄荷,541,both,2,False,False,False,False,False
風格,540,both,2,False,False,False,False,False
擁有,539,both,2,False,False,False,False,False
到,538,both,1,True,False,False,False,False
亮白,535,both,2,False,False,False,False,False
整,535,both,1,True,False,False,False,False
避免,534,both,2,False,False,False,False,False
吃,534,both,1,True,False,False,False,False
美,532,both,1,True,False,False,False,False
購,531,both,1,True,False,False,False,False
體驗,529,both,2,False,False,False,False,False
香味,528,both,2,False,False,False,False,False
無毒,527,both,2,False,False,False,False,False
組合,526,both,2,False,False,False,False,False
美肌,526,both,2,False,False,False,False,False
處理,525,both,2,False,False,False,False,False
帶,524,both,1,True,False,False,False,False
摩達客,519,both,3,False,False,False,False,False
滑順,517,both,2,False,False,False,False,False
盒,517,both,1,True,False,False,False,False
專用,516,both,2,False,False,False,False,False
手套,516,both,2,False,False,False,False,False
純淨,516,both,2,False,False,False,False,False
過,514,both,1,True,False,False,False,False
錠,513,both,1,True,False,False,False,False
美白,512,both,2,False,False,False,False,False
膠囊,512,both,2,False,False,False,False,False
成,511,both,1,True,False,False,False,False
學習,510,both,2,False,False,False,False,False
黃金,508,both,2,False,False,False,False,False
日,508,both,1,True,False,False,False,False
能力,506,both,2,False,False,False,False,False
調節,505,both,2,False,False,False,False,False
按摩,504,both,2,False,False,False,False,False
因,504,both,1,True,False,False,False,False
請,503,both,1,True,False,False,False,False
e,503,both,1,True,True,False,False,False
chic,500,both,4,False,True,False,False,False
迷你,500,both,2,False,False,False,False,False
含有,500,both,2,False,False,False,False,False
秒,500,both,1,True,False,False,False,False
性感,499,both,2,False,False,False,False,False
鎖水,499,both,2,False,False,False,False,False
限定,498,both,2,False,False,False,False,False
刺繡,497,both,2,False,False,False,False,False
補水,497,both,2,False,False,False,False,False
迪士尼,496,both,3,False,False,False,False,False
檢驗,496,both,2,False,False,False,False,False
具有,496,both,2,False,False,False,False,False
綠,494,both,1,True,False,False,False,False
裝,493,both,1,True,False,False,False,False
細菌,491,both,2,False,False,False,False,False
授權,491,both,2,False,False,False,False,False
五,490,both,1,True,False,False,False,False
容易,488,both,2,False,False,False,False,False
寬,487,both,1,True,False,False,False,False
全面,486,both,2,False,False,False,False,False
箱,486,both,1,True,False,False,False,False
sgs,485,both,3,False,True,False,False,False
防滑,485,both,2,False,False,False,False,False
臉部,485,both,2,False,False,False,False,False
梳,482,both,1,True,False,False,False,False
餅乾,482,both,2,False,False,False,False,False
點數,482,both,2,False,False,False,False,False
日常,480,both,2,False,False,False,False,False
cb,478,both,2,False,True,False,False,False
髮質,476,both,2,False,False,False,False,False
美麗,473,both,2,False,False,False,False,False
更加,473,both,2,False,False,False,False,False
無線,472,both,2,False,False,False,False,False
達,472,both,1,True,False,False,False,False
水嫩,471,both,2,False,False,False,False,False
檸檬,471,both,2,False,False,False,False,False
藍,470,both,1,True,False,False,False,False
會,470,both,1,True,False,False,False,False
型,470,both,1,True,False,False,False,False
人工,469,both,2,False,False,False,False,False
髒污,469,both,2,False,False,False,False,False
吸濕,466,both,2,False,False,False,False,False
mit,465,both,3,False,True,False,False,False
泡泡,465,both,2,False,False,False,False,False
形成,464,both,2,False,False,False,False,False
緊繃,464,both,2,False,False,False,False,False
強韌,463,both,2,False,False,False,False,False
品,463,both,1,True,False,False,False,False
寶寶,462,both,2,False,False,False,False,False
編織,461,both,2,False,False,False,False,False
香,460,both,1,True,False,False,False,False
滋味,459,both,2,False,False,False,False,False
暈染,458,both,2,False,False,False,False,False
支,458,both,1,True,False,False,False,False
隨時,457,both,2,False,False,False,False,False
青春,457,both,2,False,False,False,False,False
遊戲,456,both,2,False,False,False,False,False
輕柔,455,both,2,False,False,False,False,False
淨,454,both,1,True,False,False,False,False
款式,454,both,2,False,False,False,False,False
蓋,452,both,1,True,False,False,False,False
最佳,451,both,2,False,False,False,False,False
專屬,451,both,2,False,False,False,False,False
自由,451,both,2,False,False,False,False,False
操作,450,both,2,False,False,False,False,False
來自,449,both,2,False,False,False,False,False
流行,445,both,2,False,False,False,False,False
金,445,both,1,True,False,False,False,False
直接,445,both,2,False,False,False,False,False
標準,445,both,2,False,False,False,False,False
無痕,445,both,2,False,False,False,False,False
菌,444,both,1,True,False,False,False,False
比例,443,both,2,False,False,False,False,False
需,443,both,1,True,False,False,False,False
胺基酸,441,both,3,False,False,False,False,False
不會,440,both,2,False,False,False,False,False
電池,439,both,2,False,False,False,False,False
徹底,437,both,2,False,False,False,False,False
走,437,both,1,True,False,False,False,False
護理,436,both,2,False,False,False,False,False
修飾,435,both,2,False,False,False,False,False
金屬,434,both,2,False,False,False,False,False
隨,434,both,1,True,False,False,False,False
唇膏,433,both,2,False,False,False,False,False
結構,433,both,2,False,False,False,False,False
能量,433,both,2,False,False,False,False,False
酵素,430,both,2,False,False,False,False,False
預計,430,both,2,False,False,False,False,False
柔,430,both,1,True,False,False,False,False
蘆薈,430,both,2,False,False,False,False,False
輕薄,430,both,2,False,False,False,False,False
悶熱,428,both,2,False,False,False,False,False
感,427,both,1,True,False,False,False,False
保證,426,both,2,False,False,False,False,False
蓬鬆,425,both,2,False,False,False,False,False
童,425,desc,1,True,False,False,False,False
比,424,both,1,True,False,False,False,False
夥伴,424,both,2,False,False,False,False,False
牙齒,424,both,2,False,False,False,False,False
效期,423,both,2,False,False,False,False,False
製成,422,both,2,False,False,False,False,False
英國,421,both,2,False,False,False,False,False
表面,420,both,2,False,False,False,False,False
口,420,both,1,True,False,False,False,False
指甲,419,both,2,False,False,False,False,False
迅速,419,both,2,False,False,False,False,False
容量,419,both,2,False,False,False,False,False
隨身,418,both,2,False,False,False,False,False
奢華,418,both,2,False,False,False,False,False
機能,418,both,2,False,False,False,False,False
至,418,both,1,True,False,False,False,False
隱形,417,both,2,False,False,False,False,False
彈,417,both,1,True,False,False,False,False
沾,415,both,1,True,False,False,False,False
工藝,414,both,2,False,False,False,False,False
藍牙,414,both,2,False,False,False,False,False
腳,413,both,1,True,False,False,False,False
當,412,both,1,True,False,False,False,False
式,411,both,1,True,False,False,False,False
被,410,both,1,True,False,False,False,False
消臭,410,both,2,False,False,False,False,False
顯色,410,both,2,False,False,False,False,False
液,410,both,1,True,False,False,False,False
典雅,409,both,2,False,False,False,False,False
淨白,409,both,2,False,False,False,False,False
布料,408,both,2,False,False,False,False,False
高級,408,both,2,False,False,False,False,False
指甲油,407,both,3,False,False,False,False,False
圖案,407,both,2,False,False,False,False,False
抹,406,both,1,True,False,False,False,False
原料,405,both,2,False,False,False,False,False
需求,405,both,2,False,False,False,False,False
玻璃,405,both,2,False,False,False,False,False
送,404,both,1,True,False,False,False,False
人體,403,both,2,False,False,False,False,False
修復,403,both,2,False,False,False,False,False
酸,403,both,1,True,False,False,False,False
電源,402,both,2,False,False,False,False,False
以上,402,both,2,False,False,False,False,False
媚比琳,401,both,3,False,False,False,False,False
牛奶,401,both,2,False,False,False,False,False
神經,399,both,2,False,False,False,False,False
s,398,both,1,True,True,False,False,False
玩,397,both,1,True,False,False,False,False
感受,396,both,2,False,False,False,False,False
精萃,396,both,2,False,False,False,False,False
海洋,395,both,2,False,False,False,False,False
降低,392,both,2,False,False,False,False,False
一般,392,both,2,False,False,False,False,False
聖誕,392,both,2,False,False,False,False,False
家,392,both,1,True,False,False,False,False
空氣,392,both,2,False,False,False,False,False
製作,392,both,2,False,False,False,False,False
妳,392,both,1,True,False,False,False,False
刷頭,391,both,2,False,False,False,False,False
針對,390,both,2,False,False,False,False,False
精品,386,both,2,False,False,False,False,False
女性,386,both,2,False,False,False,False,False
吸水,386,both,2,False,False,False,False,False
恢復,385,both,2,False,False,False,False,False
精,384,both,1,True,False,False,False,False
模式,384,both,2,False,False,False,False,False
吸附,384,both,2,False,False,False,False,False
小巧,383,both,2,False,False,False,False,False
舊,383,both,1,True,False,False,False,False
海綿,382,both,2,False,False,False,False,False
凝膠,381,both,2,False,False,False,False,False
頭,381,both,1,True,False,False,False,False
乾,380,both,1,True,False,False,False,False
奶油,379,both,2,False,False,False,False,False
注入,379,both,2,False,False,False,False,False
療癒,378,both,2,False,False,False,False,False
怕,377,both,1,True,False,False,False,False
優惠,377,both,2,False,False,False,False,False
法國,376,both,2,False,False,False,False,False
放鬆,375,both,2,False,False,False,False,False
w,375,both,1,True,True,False,False,False
◆,375,both,1,True,False,False,True,False
粉刺,374,both,2,False,False,False,False,False
牙齦,374,both,2,False,False,False,False,False
膚質,373,both,2,False,False,False,False,False
蕾朵兒,373,both,3,False,False,False,False,False
芳香,373,both,2,False,False,False,False,False
觸控,372,both,2,False,False,False,False,False
柔滑,371,both,2,False,False,False,False,False
茶樹,371,both,2,False,False,False,False,False
led,371,both,3,False,True,False,False,False
染髮霜,371,both,3,False,False,False,False,False
表層,370,both,2,False,False,False,False,False
rose,370,both,4,False,True,False,False,False
乳,370,both,1,True,False,False,False,False
即期,369,desc,2,False,False,False,False,False
檢測,369,both,2,False,False,False,False,False
不適,369,both,2,False,False,False,False,False
醯胺,368,both,2,False,False,False,False,False
沖洗,367,both,2,False,False,False,False,False
塗抹,366,both,2,False,False,False,False,False
美容,365,both,2,False,False,False,False,False
獨立,365,both,2,False,False,False,False,False
一起,365,both,2,False,False,False,False,False
光滑,364,both,2,False,False,False,False,False
粗糙,364,both,2,False,False,False,False,False
禮盒,364,both,2,False,False,False,False,False
立即,364,both,2,False,False,False,False,False
套,363,both,1,True,False,False,False,False
濃縮,363,both,2,False,False,False,False,False
妝容,363,both,2,False,False,False,False,False
眼線,362,both,2,False,False,False,False,False
水感,362,both,2,False,False,False,False,False
氣質,362,both,2,False,False,False,False,False
達到,362,both,2,False,False,False,False,False
級,361,both,1,True,False,False,False,False
選,361,both,1,True,False,False,False,False
沐浴乳,360,both,3,False,False,False,False,False
｜,360,both,1,True,False,False,True,False
髮根,359,both,2,False,False,False,False,False
排汗,359,both,2,False,False,False,False,False
完成,358,both,2,False,False,False,False,False
令,358,both,1,True,False,False,False,False
強力,358,both,2,False,False,False,False,False
妮維雅,358,both,3,False,False,False,False,False
二,357,both,1,True,False,False,False,False
溫度,357,both,2,False,False,False,False,False
森林,356,both,2,False,False,False,False,False
靠,356,both,1,True,False,False,False,False
第一,356,both,2,False,False,False,False,False
抑,355,both,1,True,False,False,False,False
蘊含,355,both,2,False,False,False,False,False
壓夾,354,both,2,False,False,False,False,False
出,354,both,1,True,False,False,False,False
綜合,353,both,2,False,False,False,False,False
v,353,both,1,True,True,False,False,False
傷害,352,both,2,False,False,False,False,False
乳液,352,both,2,False,False,False,False,False
自己,352,both,2,False,False,False,False,False
水果,351,both,2,False,False,False,False,False
凝露,351,both,2,False,False,False,False,False
筆,350,both,1,True,False,False,False,False
狀態,349,both,2,False,False,False,False,False
果油,348,both,2,False,False,False,False,False
