ShopMemberId,NAPL_1,NAPL_2,NAPL_3
bZ+9H6N1vlKbPjOcooCbfzzlOGhB7gnBfPxNQfG+is4=,P,P,A
yjohu+n6dP0uh00OKNeZ8pwsg0HNGCFSZ82Vxy8sXWA=,R,R,A
iVHbzFi0jWAQfl3ZVP2CQaAHQ+I9HfyIDYf4wR9wPps=,R,R,A
8hwA0YJ/1xVrwfSMeIAbhyVA4kKsw3Txcwfu4mWsldw=,L,S,A
eU4+7AKq2+in5Oe1jPW80rKcyccRe1621a/8KRA8VW0=,L,S,A
bQQH9gOcxYjywMRQGx+HxG3WjC4BnBbogGLIB+121z4=,R,R,A
Ac7stQYCOV6/RZMeTsj8L6IkehdAQoboR3v43Dbm9DM=,R,R,A
vLk9cVA6fv93jo8YYjVFjOeY9xlqF3F9A7ztiBmIhZo=,L,S,A
I6ciaSiQfj0dEqtcKJSTmCvzXjeXZJUikfaJmNMzHqw=,R,R,A
8anSqCYSWS1FhXG0EGDp5laOuvaomPNmf0u8rETgh2U=,R,R,A
np44wzMi9yuVNf5xIvA3cNN0B65cZSri2+oSxkzaVO8=,R,R,A
YO4GDnwXzh082/2okzaMkgSQO8ipsnvLwdgSX+DXOds=,R,R,A
2Wnm02KdT+QaIBVHxsjjd4QGEUsKVSALSyMQSDFyEa8=,P,S,A
AVmNuMUmIFiOMk1px+CcaKB5Wzmg+d1YdvgOth9TXEQ=,R,R,A
dNvkENU/nFJcDgdBnA95hQ3DV6xIFxDi+0c8huydJZ8=,A,S,A
CfXQgs0g+tJAghCuG3bZatYA//5IxKKZsMpS9ZVzxR0=,R,R,A
5uhv3Su4NefFNE4nreAPfbjbEQRMjT0xyzc0MWVQqEE=,S,S,A
vjNBQn3rsgyntEUoRMOZ+pUuJ2hrVit6Q+0vSg6IFzc=,R,R,A
X/hk0Jdb6tCvT3C5O/LbCeCID5+5O/hlWJV6OodjnH4=,A,P,A
GmygkJMdltb4gs2tru/4NvnzYjhjusQbq23L+aFbMh8=,L,S,A
uEX3z0MlgR/yGtnZ3eSfvDc2/uMzZgDpguX7cQotzYM=,R,R,A
Es97/DhQwMVtcyXmeEIxZsq87nxSZd0N+0YsnBVwIGo=,P,P,A
c/khHERKxaR9p0yKhSHAp7AbR+NgQL/ODuSx25yY8d0=,S,S,A
p+xd7wyyoKSI2fmmpXDIPmQVmGC9gBurikO9HwKmHnw=,R,R,A
+dlQpzZ/6i2LXKElj0VNRya6w1fSme2nr/FVWVV6VUM=,N,P,A
DpXBYZUkr29VmpU/o0nHPXpkF2ivJz45QY2JoCuC43g=,S,P,A
6N+eS5Pk/gOynpBW6W6+35poNlD+Td5jsB6MDnw/NqE=,S,S,A
iXmRWK1uDBVnCdsqFqabGJxF5drhNW6Zdu7iJ61kbbI=,P,P,A
zUHPDjcZsf0cDOAvTnwTi9yMM5IXGFiuzGKjsbhawz8=,L,S,A
nRMzcR98lpB2GzyVnstkB/h4jQzBfQezeoKzfSj5LuU=,R,N,A
WRy4jrS8JIRXqYXZdybGv80ctfoRzNkW6RtNNl/t9Yw=,P,S,A
cswuE9Q34PTMxV1MWzTYuu3kWnASOAuFCtzx1nXJ3Cs=,A,P,A
VuY8pIoizKbaf+7GY4nneBdekj4rfXWWNKTg88KyI+0=,R,R,A
0Lym9FGjNyoeWdhMyOZfy83VvG9Zr+zHhtWsJ9zGYow=,A,A,A
73MnO5LKRgCLLC6XaiLr6CmIb8VSPYp0tsNj9gR9DyA=,A,P,A
Jbil5d+ntK3s+tibURkHoauqKyohRf0NCdr/EEZctdw=,R,R,A
8GTUjGkA+5fuaJrQLQIItl+XS+i+w6baNAU+jxwEh6I=,A,P,A
k6ermsLM5xUHAhiCHE1FaFdtbWxG2z+vbJmVumV08HI=,R,R,A
pxh+fH/t1XE6WJgnBPoS5qbM1YdZGiYoDzxIoyuHJ8o=,P,P,A
Z2tJn3msEQ9RJb8zykh/JDc9wmQL21VNz7u0Ih35myA=,N,S,A
IFTvAjC0GzV2ZM1/8vCB92DBFJU6GHmkUb26UCc9s0M=,R,L,A
HIw5WZ6eSO2guyb513bDTJr6r8H6rkTmA3LL2muj6s0=,L,S,A
sRPJ3WLyYsS7paEPm3J/dwAzXn7z4IEw5nYiqIDUSXY=,R,R,A
ukSgG3HuTo9X5+NXb/W6oT9ZLRlANSToJI5UNi3VVsM=,R,R,A
RT/YuzL8212IHizm/0oCqmW/RLTCdcY3I7eib91aW6w=,R,R,A
aiI3poTV9IaS4Oue+MWVwXAfnSeHrOtHEtj+NsdTDgk=,R,R,A
k60bqWJ055dfbgomIVrmnTiucrmd+XTVkam0O5TZAXs=,R,R,A
kWewUWA5F/3gemzgMMxbGGKySTHw7nTQiAdjlU93NU4=,L,A,A
iDb9e6K2gZ9MP8Yl8mzcpnyNFVZTzf7Pe1El7k30BOo=,P,P,A
q4V7GHaRVudKB/4RCV3in72aYGrlBcpx8cTS9wheyWE=,R,R,A
TCJCUiU7k+RTQ89Mb44ZStVLpWNuIHROIUx5Nmhejio=,N,S,A
BAVL6ENwja6D1ITO6NCZ2OSKRHuMUsU8fe7qltChaxU=,R,R,A
obfSnJi+3c5dI8vOzQnFsOcauhPI7yg/Ay6z//7LOUQ=,R,R,A
Ra8x3JAwDnIuycDPnDOAHI7Nzm5E9Gxb3FU/PBYNSEA=,P,S,A
HsjFo2w4zHrYgs/XDbmPTvFTKgV2QJ/dauS0MQ1ablA=,R,R,A
fcLR3Jv20Ewp2+Z0ceH+uVbgYI5HQ/uZEtGwNyYm1Ik=,L,P,A
XtR1GyQsJ0m2I3uOTKgUvXT1+FKukFZi6EHbIMWCJ5M=,L,S,A
BNCdBzPtBx0cHQ9laOdvELTBab04gY/yjZuNT3FY8RA=,S,S,A
Ra8x3JAwDnIuycDPnDOAHD6ESdEHgqhsTPNeaErzv6w=,S,S,A
HVHd/q7cqhC+BELB7TZquGUJZdYk4A3hofo91NrN/L8=,P,P,A
qLeNLjUsQwngvZY0Ii7jqdneZ/h9RvDobFtT3nSBqYg=,P,P,A
VFCtnmFUU5CGJh7+q+RVckIEGpoYkkzIgjI4Tu5onrM=,R,R,A
Gx0hj2326Royi9mgbMcw+HUZix+05JOxpcVXZH/DwtU=,R,R,A
5Ld95B34+jBBM5+qqEnWSD8CaQtzXBZNw8wIbfPXfto=,R,R,A
MrXeMOrzuTba2+JLBl00HesQFTOXEOUxMKwc2MxJlks=,P,A,A
6MPgFYafVYkwLeCvMqJ9NQEf6gsin0yABTFYPbZIq4I=,R,R,A
svlXUONB6hXYm9fje5ho0CjzRa8a14M9Rlc2oFOtMl8=,R,P,A
+5VlUF4zZDaKBcVUJK7Q/Qagbf1lD8Scx2QWuvxqVM4=,R,R,A
JsYnvJ9Bp/iNYMCcRVHLyhfsX/u+DGlLUzXXJhAGsh8=,A,P,A
ngWIpO5bVjQ/C1btVpWag+hRsXHaEtDR/9nzJvKLheU=,S,S,A
GJDsU5oLySD7fdsmO3cNtSh+v48IyMRzTt0E68YND94=,S,S,A
qCO2cNqTn7X7053pwvNHl7EzhRWbC47XgVbqDQFihyI=,R,R,A
TbnkT5+70asnVpTh2AypZ2G8YGE6HRTb7Kzf+Olg3H4=,R,R,A
w2KMwb1Izj01h87gbavzz3YJ+8WuEx+NrGGEbEhWuk4=,R,R,A
u2a2Zile50s0f1rkqTuMWSCzg3L167dIgVEZB9NhXiA=,R,R,A
sfjRjPjJONCU2mXNyasVbM2XuOdYiVyEc4twnBkdpSU=,R,R,A
vPobSQiXDUXUXOvaFTRyxMey8aGhBxSJae5Py5ocCDs=,R,L,A
B+4BWwiI3rCm9aF0r2/nDs8XL5H/oVc5aSgqKtUpDy4=,P,A,A
OcJffwPF3dU63WOYZ2hVEt0rWJ2p4u4ONrv1lXpa+CY=,R,R,A
quBkUgVooqBSpJO0bUTIV2WqlIo4AO/nGqOop6QApcA=,R,R,A
r4641PLNzcr8MfcDgR14GaaaBZ2qYqPXE9/5UEoouH0=,R,R,A
BEE1QykNZUQ6VNPmnkoPv3q2xSimZ9e8P8UPxH3Tpqs=,R,R,A
4QAGwUspGx1cFIDlqHKzClQaxAJOQWpQZTC/PpDtKcw=,P,A,A
tUtrPfQDLtlhINSjAMQiPmc96VbkZw1S8UZD+ImqlT8=,P,S,A
dguhhJUN/XEoJ2KZ06bkcUwlDCu+GwvCcVcdaTZ6MwU=,A,P,A
Lii/1WLtzxkCwhLJJ1OlrxcLEyP6wpZzTueNk7gSceQ=,A,S,A
NwblXOi7wavreL+ryDXIk4Ne5awuApElp65gKjMw6UE=,R,P,A
hduFFFLT4ssuvXPWXZUspvaWcCG8QaIEe4YCQfnvCrg=,R,R,A
mhUj7KI+9VnxYEe25R+mgtbWqcok/He56MuedB1okKs=,A,A,A
dmAfiJS2Ih6JxxBn35J6Cgqc/YfKMtFsICa5lkd2MKQ=,R,R,A
018c145XHVFnBVAIBRwU9lFVzH7bg02GdMGc+D1ugAU=,P,P,A
M0fkJkb66nf9oZD87c6A2PDA3znvKEe89VY1NQlx4ko=,R,R,A
yM758vf6iXyhNnNPS/F7icfousG/eAVS7W3JAuL95Xo=,R,R,A
qfiK25S5a8lYHiDPxyV8R+xQSyFhgrjnmpWDuMPJpw0=,P,A,A
SdNvgJAfIfr63bN3M7O8iPSamlVZ/fOWywz0C1UL/5c=,R,R,A
dQMdFQ/jEawVOWRDJdaM6HXaSTtDNFtYq1XyEdEkM5A=,A,P,A
sin9vjmgmo+9q0V7xWo8ekOg57KLPYm8hhl/meJKAGI=,R,R,A
4ORS0VPUs36AJHMWwzkwJpG110wTjjn/6mpjy1M5Rbk=,P,P,A
oL+JcV6RSfMPeh8i8t03B/oIaGTCHbL45OHbxNtkquE=,R,R,A
MOr1zNiv0XjCNBx62QnXkqHlqxY+cjV1VQKgh8qkxyw=,A,A,A
T9QVf5QVryqXW+ye++Sgm1MmQ20aR/uY6/OltWVy/eo=,P,S,A
5Ld95B34+jBBM5+qqEnWSIFXHhiSLuuO1SoRS7qSSxY=,R,R,A
EuNiRTpb1RIfPI8F+gAkOVSQi3X1cy/JzExCYQuNMN8=,P,S,A
0AhMkl+rwEpjlKa+WcJ6lRZRyF9veU5y1lvmkunYZbw=,L,P,A
m/pq1ftuOLUTDgwp0OCz2AsD12LjagHfjZfaevSBz3s=,P,A,A
rGZgq8zmqgL6UeEthrBmj9Y3dJpR37AZvyfrrBxQlMY=,L,A,A
3pDXkPvWJglozdSwH/ZIaXl/XfLA4ExATirCqt/S+nE=,R,R,A
18c9p3LsI5qi4SqNvRyA5tSVT1dqjy9bNauuwaf7c3I=,A,S,A
4/zVGAWA8AfAtGxSBRB1ZLNOwa3JQClciUFyCcJeOLI=,R,R,A
y7d47/FcoYnk5yR/cfaWSzU6Sr5d5BorwnvoIO9T+4k=,R,R,A
6zMgprB/zXOps3pJy/rtLdQWH5sjqsT11W5dffrJoUQ=,R,R,A
Fs4hOQxzq54yKkEY5Z8B1Sy7xcCp+7IglleQybIFQ2A=,R,R,A
14XhKbrMkkI0eulAz48SAzljIBlkRa6svYnK1xHbXm8=,R,L,A
Ild1CymdiF2EuFPan9bkl8h6+GVMfkel8BRwPjQpEsw=,R,R,A
Kw7DPRhdFMuqr4SVXTbFdfFXFZBkT3xyfsAs6RAHtyc=,R,R,A
GWdYC78VOXZ0btV4855DkJvjT4k8IkAR1CFbPSsBLcc=,L,S,A
sMQDzopQhMlZJGjRE0g8/R670fFPy/UY3lToMkm6DzQ=,S,S,A
YpppcC/vUgI+r5wi+wuH0k8CY4lj3jJVDDq8cvzZkIw=,A,S,A
DzW0O6FHeVOCX+PYNU6KyDUXYkhd6W8CtGNh28REI3E=,L,L,A
YW8q4/R1RBdyHejVG+g980XE8x+Sj8uZA2d6nAYcnG4=,R,N,A
H79qvEMxYrPLMhcroUQMeyZRR6ZD2x6rdd+W35wXuu0=,P,S,A
TgkmvUA+y9ULA1lB9DAg9G9eA6NivGT4EQYlQydMrTY=,S,S,A
IbYW63aVyK/V5giOo1g1eTXosVBLsWp/cKzGiEaY/0o=,A,A,A
uCnyhpl30/n3YR/ZhKtscPF6SLweyY+24eMaHtL8Ews=,R,R,A
5BHXC77VtQ6Ix66BXvC4t+i9FeK6S2H4qbau4WQA5Kg=,R,R,A
5o5n1BNIBTD7wQtx8sV3PqVsdkIOMmiJMLGhER7xVMU=,S,S,A
naxb4OjgkSufqtx60FJcesYnMJIfGDpXXirHjovespo=,R,R,A
2sEpipL4p9xiU2ynn4lKxHuMPbwaNv92ZerJ030pvWI=,R,R,A
uHkzsPIWgSEf4/6dHyynFPvQti60fIEX1Fg7kIsAIuk=,R,R,A
UPqCVbszhgHtoRKGm2H63K1Agggk2hSoMOOgqIoKXeU=,R,R,A
QmGxkEVWhauDj2ch4+/ltr35zjmd7J/GZvcUgAR+8LQ=,R,R,A
1kaIgo/sZEqd7jfzuZ6xu/vnZXvDz0U7G7d00Zl2t8A=,A,A,A
2Gqcqcj97aa8Y5bJIyjQ3Pn9d79XjctHIi85wKrP2xM=,A,P,A
LZ/u0SM3cRoF9EQMzZkwSfaxqxLNeTv7hvNL+e5rNow=,L,S,A
uqrVA7Tk/honUjKSBudnP/8O2tKC6eAz22sMmfn8+CM=,P,S,A
36RlJD7TJmiPMrmKJAxPRaKGeu7EIZGrxGDmCvIFJIk=,R,P,A
UQkR72eN/46kOLsZBQ2YaVVuAvMsas3knfQMHtX0auw=,R,R,A
yhnmjA0jZxBATdXM6IbY2Z1pTMd5TpInYFNQf/12IcU=,R,R,A
/GdaHa3M8wAwlhsE1VvghqiXDkGtTc3PYd6hgBdODrE=,A,S,A
GjiXNBF3hXwitG6MQfgzYVyfROUVy81rnd33qLqO3OQ=,L,S,A
D9FOYkpi+qra5BSh7PLl6DGdE8gcrhSWnqtN7EgG8es=,S,L,A
OvEVPwCVaaTMBpSprcWpmgORl5M6Uh9apKDSWz8cos8=,R,L,A
kjJo1OqLDx0CDn9MSTX7BSnLPUhBT9sad9/t7fdLx84=,S,S,A
+oCeURGQpmBbPWObVGT8vU6qMl15HlS3MeAZ1ZblrWQ=,N,P,A
B/enSmqhR2ow2upmRsmzVEVu28DN+nWH2X11TceMcCc=,R,N,A
aiI3poTV9IaS4Oue+MWVwTtc8C32A4gWc9UToQxSQRI=,A,A,A
7Qqup8s1fpGanfkHKqsfYrZKJ5WBADTxxZFUbyfHRzE=,R,R,A
8UYvbX+6zLqe7zfxH2Dpsqozzjz8+xXioB2LXMQKrxM=,R,R,A
BUnrn4QGPcBqmq2YKCwvZUp4ZTVpQEe0zislrJozgyM=,R,N,A
W+xXD54uPb/pyES2weZsJWdGO5bxFJL9qYTsm+5DXKk=,R,L,A
t/RrSrLtWUa8c/Wkc4LqzHQCecpRKA88IlbMXMbsB3w=,S,S,A
ZGGKglN4vmJUWNh7ix28GgCADKenh0Cdvj4/jMVk2YI=,R,R,A
TBZQzmF4cqX08OFhv5EPN/qJg6flgIjzV/sSbBqkuK0=,L,S,A
hbcl4M/0fATiuwcd2/L6otAUGKKkzE9+1q1yIqiy1Sg=,R,R,A
xhQrWsen/SNMXSvTz0vvs61ZdA5Ir3+UwnIOTc1rU+0=,R,R,A
CGkVP2qAlh8sK2waXrjn1DmVpA8dbaO0kpxAyFO3F4k=,A,S,A
Y9cWzhNL+izQcDK5tNykDzx8bGkGBNKSQ+DhayQZc9c=,N,S,A
Ae5v3m7g9l7iOaIwxvINxy8J6JOI27qzKNb74kqJAqk=,P,A,A
puRQNoZyHY/3ZGkshw0btOShDN+V7ssdbaJad0kRsVs=,R,L,A
W3+Qg5M1TY6iS1AfIdinOXq111On4HMpuy5KRmTqGpw=,A,A,A
zklJPa0FiA4baX4wU/fSkmfeq7vH4dKy5alXUzybr08=,L,S,A
cvACvOaAJc5+6ZBi2sjX4RMQdCFgggCooJdOmcYGs4s=,R,R,A
bV1PEGhg1jemarLhoR4hd7xZBy9WHZ1ce7sAabHn8do=,P,P,A
d91G3hqKuJHboricbpkdZPZoNl/qB+8UMseAmvXCO94=,R,R,A
7EJdQ0fPM6SdqHDAk/4780cyJ1f5gtKx5wYpV41i/uA=,P,S,A
jhRp2MJ2YIG7doaP6g6Pasdp5bHLg0nnDPQR9Y6RNiM=,R,R,A
RrnvzAF5SGYt0noQ37a0XbGdjSE9L4cdSRGMWoM/Oz4=,R,R,A
E34OjKqG1c7849yq73Efu3fU23bnUIMa3pp+B7EXJmI=,R,R,A
wH/hqHVrBBBfzeWTYNoicDxINPn6gSfEbEG1jjfaCCY=,P,P,A
kA/McZo3c+oYn2GOrSFZGPn2VgXxcgPRLZkU+hnlmG8=,R,R,A
A5bPQ8NpjRBt6LiBrNv/cGHkBjL3cLh9BtZ2eg6N3fs=,R,R,A
lD92aqoc0+io/T2hwmPIhzW3JQf552NefUg+p5Podho=,R,R,A
/8ljhU2go5CQo2K8Lu8MM8CxHdeycK9Tu1BR07L0uKE=,R,R,A
eqWFuDcFtIk6sZvU5jOojWoHvzp/Pp2X+KGZ0rdZdJg=,R,R,A
xU7K6v+ZVM4bl6D+aTcb/m/wO7JAmYtGboxKdEiu9mU=,N,S,A
/3npGupomRSqII51VhfrLrXJhDu1budiJSNC9kbBoiA=,A,P,A
V54KYgUKWdxQbAde/tQCv4AOtfEdK4vhjDekbFgB+XQ=,R,R,A
/pWKdIvEMU7LbCGmB4jrPiWZPuK9nKDLahLIjCwoZSo=,A,A,A
1AiCMS3GgxwfTg+G/TY040X5x7CGThrZPiYW5hbv1AM=,P,S,A
IJF6NNBQUhE1x5Frl98LVX7a2kfIl9v6JyiWJdsjEhY=,R,P,A
QG/eMn3iBp9f+bfdTm0l4DSmCFiWQ/hYoVrN9FWviFc=,R,R,A
BYnuDBTojhSGnKbj8/vzyE73Hl/g4KhEfv1exTFYxUw=,R,R,A
4/G0AaBxYkxy7vygrzurPKK9JnqbWQ3sfrDil/tB57w=,R,R,A
AzoAZWb7Imum7wOeNsQ+K361IvTRd545bp3GGF/8dfA=,A,A,A
rk/P2S7AXki5RAAKG5PBcVuGoJBNK7rGCr4DZi/HItE=,R,R,A
MrXeMOrzuTba2+JLBl00HVqp2nhxoBB0Ebr3Jkr2GXw=,R,R,A
JRMlAwer97uTZvgXaschasV7yAzgeD1OiM25ZawZC4Y=,A,A,A
8tQkf1ROaNmM7NWaEmMLVz46m0njjScEbVr9g2qSAYo=,R,L,A
032OqX5LAkKyzLAJEUad9U4SAEWrg98exnBh0lX8PIw=,P,S,A
vNlPntqNGcrChKJZXjFufSDllnpf0jF9F4cKow9J8sU=,R,R,A
gNnEko+Ep0rJbqO9pg9nZ5e6BCjXG3GepURKqKGQ9V4=,R,R,A
n5vnKl/aQFBgOzo4S9UCtyw+8Wn9QcLA+LgZnbdbWI4=,S,S,A
+jo3rONk//JvOpeQ7nQ7ZjibBfrxSeSbQeBf7uRk6hg=,A,A,A
QGd6PQFEu32X0V9zJhDWTIl4unmzEomFEO3FlfZZxek=,R,R,A
QcRy7PfP0+bARiwPWnEALNqdbQOYlLur6a3PYE6FWrY=,R,R,A
+mIL7GkvWk/U9Vohvvu5CJl2bXORUouUjvk4nvS/L/U=,R,R,A
v/HOreLketffQ6mENRbO6eld/yAD3UvPbD1kbzGKW34=,S,S,A
Mg06TLSqI1dx20eIVtl9HMPd0G0YOXN0FLQObMOv9GU=,R,R,A
81O49Nm/mZWm0P1YADsuSb3sSlVL8kcgfYKxbLw+VU0=,R,R,A
YpppcC/vUgI+r5wi+wuH0s5mKfWoqpDbhOOPKz18GJ8=,S,S,A
T4AS9yx5cyKQBg4PZPrKaOkyTSZi1+RPnQRNS3IgyeI=,R,R,A
kjJo1OqLDx0CDn9MSTX7BRoirlWUFXJtEzltj3jO4fI=,R,R,A
rhrCH2p8bx3ehvSiuPFFyAScX8W+nLgFls9c1sPNK9o=,R,L,A
q3BrDil0A1B5pnVn+lf+YUKMH+pWkMSa4cJumWK6Yng=,A,A,A
wkp7eDZg1LsNVH/8RT4bb5ZilxCZVQECdO4P0S4diXE=,S,S,A
3PVX+e1ea+XPM9WcwmzGC/quam5p7uF74m+hZ8C17F4=,R,R,A
ear0YrFPzBNg7SKW/Dwh70xisO+G5lIosNteTobs/kg=,R,R,A
lhtRsFPi8FEjWkBUcv2yLa/9UQuUSaWbY1imEIzcrCI=,L,P,A
SOAkYFCrFF29VxruVGxeFS8sGMl3o9gzoOcoFBwdSWs=,L,S,A
